SWMM5 LID Report File

Project:  
LID Unit: SWALE in Subcatchment SWALE

                    	  Elapsed	    Total	    Total	  Surface	 Pavement	     Soil	  Storage	  Surface	    Drain	  Surface	 Pavement	     Soil	  Storage
                    	     Time	   Inflow	     Evap	    Infil	     Perc	     Perc	    Exfil	   Runoff	  OutFlow	    Level	    Level	 Moisture	    Level
Date        Time    	    Hours	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	   inches	   inches	  Content	   inches
----------- --------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------
 04/07/2016 05:10:00	    5.167	    0.223	   0.0038	    0.241	    0.000	    0.000	    0.217	   0.001	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 05:15:00	    5.250	    0.224	   0.0038	    0.243	    0.000	    0.000	    0.219	   0.002	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 05:20:00	    5.333	    0.224	   0.0038	    0.244	    0.000	    0.000	    0.219	   0.002	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 05:25:00	    5.417	    0.224	   0.0038	    0.243	    0.000	    0.000	    0.219	   0.002	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 05:30:00	    5.500	    0.224	   0.0038	    0.243	    0.000	    0.000	    0.219	   0.001	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 05:35:00	    5.583	    0.239	   0.0038	    0.258	    0.000	    0.000	    0.232	   0.002	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 05:40:00	    5.667	    0.241	   0.0038	    0.261	    0.000	    0.000	    0.235	   0.002	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 05:45:00	    5.750	    0.241	   0.0038	    0.263	    0.000	    0.000	    0.236	   0.002	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 05:50:00	    5.833	    0.242	   0.0038	    0.263	    0.000	    0.000	    0.237	   0.002	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 05:55:00	    5.917	    0.242	   0.0038	    0.262	    0.000	    0.000	    0.236	   0.002	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 06:00:00	    6.000	    0.242	   0.0038	    0.262	    0.000	    0.000	    0.236	   0.002	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 06:05:00	    6.083	    0.242	   0.0038	    0.263	    0.000	    0.000	    0.236	   0.002	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 06:10:00	    6.167	    0.242	   0.0038	    0.263	    0.000	    0.000	    0.237	   0.002	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 06:15:00	    6.250	    0.242	   0.0038	    0.263	    0.000	    0.000	    0.236	   0.002	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 06:20:00	    6.333	    0.242	   0.0038	    0.263	    0.000	    0.000	    0.236	   0.002	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 06:25:00	    6.417	    0.242	   0.0038	    0.263	    0.000	    0.000	    0.236	   0.002	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 06:30:00	    6.500	    0.242	   0.0038	    0.263	    0.000	    0.000	    0.236	   0.002	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 06:35:00	    6.583	    0.271	   0.0038	    0.292	    0.000	    0.000	    0.263	   0.002	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 06:40:00	    6.667	    0.275	   0.0038	    0.297	    0.000	    0.000	    0.268	   0.002	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 06:45:00	    6.750	    0.276	   0.0038	    0.301	    0.000	    0.000	    0.271	   0.002	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 06:50:00	    6.833	    0.277	   0.0038	    0.302	    0.000	    0.000	    0.272	   0.002	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 06:55:00	    6.917	    0.277	   0.0038	    0.301	    0.000	    0.000	    0.271	   0.002	    0.000	    0.002	    0.000	    0.000	    0.000
