1,'HPD'
2,'GREENSBORO,HIGH P, NC'
3,313630,313630,0,0,0,0,0,0,0,0
4,1948,07,1952,12
9,22,1,'0','0'
9,23,1,'0','0'
9,24,1,'0','0'
9,25,204,'0','0'
8,948,11,29,'HI',4
9,6,4,'0','0'
9,7,5,'0','0'
9,8,1,'0','0'
9,25,10,'0','0'
8,948,12,1,'HI',2
9,1,0,'0','0'
9,25,0,'0','0'
8,948,12,2,'HI',3
9,22,1,'0','0'
9,24,1,'0','0'
9,25,2,'0','0'
8,948,12,3,'HI',20
9,1,5,'0','0'
9,2,6,'0','0'
9,3,21,'0','0'
9,4,6,'0','0'
9,6,10,'0','0'
9,7,4,'0','0'
9,8,2,'0','0'
9,10,6,'0','0'
9,11,6,'0','0'
9,12,5,'0','0'
9,13,1,'0','0'
9,14,2,'0','0'
9,17,1,'0','0'
9,18,1,'0','0'
9,19,1,'0','0'
9,20,6,'0','0'
9,21,3,'0','0'
9,22,7,'0','0'
9,23,4,'0','0'
9,25,97,'0','0'
8,948,12,6,'HI',2
9,5,2,'0','0'
9,25,2,'0','0'
8,948,12,7,'HI',5
9,18,1,'0','0'
9,19,2,'0','0'
9,20,5,'0','0'
9,21,2,'0','0'
9,25,10,'0','0'
8,948,12,15,'HI',7
9,6,5,'0','0'
9,7,12,'0','0'
9,8,14,'0','0'
9,9,9,'0','0'
9,10,1,'0','0'
9,15,1,'0','0'
9,25,42,'0','0'
8,948,12,18,'HI',4
9,19,1,'0','0'
9,23,1,'0','0'
9,24,3,'0','0'
9,25,5,'0','0'
8,948,12,19,'HI',9
9,1,7,'0','0'
9,2,14,'0','0'
9,3,6,'0','0'
9,4,8,'0','0'
9,5,2,'0','0'
9,6,2,'0','0'
9,7,2,'0','0'
9,8,1,'0','0'
9,25,42,'0','0'
8,948,12,24,'HI',8
9,14,1,'0','0'
9,15,1,'0','0'
9,16,1,'0','0'
9,19,1,'0','0'
9,22,2,'0','0'
9,23,4,'0','0'
9,24,5,'0','0'
9,25,15,'0','0'
8,948,12,25,'HI',10
9,2,5,'0','0'
9,3,9,'0','0'
9,4,10,'0','0'
9,5,9,'0','0'
9,6,6,'0','0'
9,7,2,'0','0'
9,9,1,'0','0'
9,11,2,'0','0'
9,12,1,'0','0'
9,25,45,'0','0'
8,948,12,28,'HI',3
9,22,1,'0','0'
9,24,1,'0','0'
9,25,2,'0','0'
8,948,12,29,'HI',15
9,4,4,'0','0'
9,5,1,'0','0'
9,6,1,'0','0'
9,7,1,'0','0'
9,9,1,'0','0'
9,12,1,'0','0'
9,13,2,'0','0'
9,18,16,'0','0'
9,19,7,'0','0'
9,20,8,'0','0'
9,21,8,'0','0'
9,22,6,'0','0'
9,23,9,'0','0'
9,24,11,'0','0'
9,25,76,'0','0'
8,948,12,30,'HI',11
9,1,14,'0','0'
9,2,8,'0','0'
9,3,7,'0','0'
9,4,3,'0','0'
9,5,13,'0','0'
9,6,6,'0','0'
9,7,8,'0','0'
9,8,2,'0','0'
9,9,1,'0','0'
9,10,1,'0','0'
9,25,63,'0','0'
8,949,1,1,'HI',2
9,1,0,'0','0'
9,25,0,'0','0'
8,949,1,4,'HI',2
9,21,0,'A','0'
9,25,0,'I','0'
8,949,1,5,'HI',9
9,2,1,'A','0'
9,3,0,'A','0'
9,8,17,'A','0'
9,9,0,'A','0'
9,14,9,'A','0'
9,15,0,'A','0'
9,20,68,'A','0'
9,21,0,'A','0'
