HPD08021100HPCPHI19650600170011500 00008  &&&
HPD08021100HPCPHI19650600170011600 00001  &&&
HPD08021100HPCPHI19650600170012300 00002  &&&
HPD08021100HPCPHI19650600170012400 00008  &&&
HPD08021100HPCPHI19650600180010100 00010  &&&
HPD08021100HPCPHI19650600180010400 00003  &&&
HPD08021100HPCPHI19650600240011500 00005  &&&
HPD08021100HPCPHI19650600240011600 00045  &&&
HPD08021100HPCPHI19650600250011200 00026  &&&
HPD08021100HPCPHI19650600250011300 00019  &&&
HPD08021100HPCPHI19650600250011400 00001  &&&
HPD08021100HPCPHI19650600250011600 00001  &&&
HPD08021100HPCPHI19650600260011400 00026  &&&
HPD08021100HPCPHI19650600260011500 00117  &&&
HPD08021100HPCPHI19650600280010400 00005  &&&
HPD08021100HPCPHI19650600280010500 00001  &&&
HPD08021100HPCPHI19650700010010100 00000  &&&
HPD08021100HPCPHI19650700080010800 00015  &&&
HPD08021100HPCPHI19650700080010900 00006  &&&
HPD08021100HPCPHI19650700080011500 00003  &&&
HPD08021100HPCPHI19650700090011000 00010  &&&
HPD08021100HPCPHI19650700090011100 00004  &&&
HPD08021100HPCPHI19650700120011700 00001  &&&
HPD08021100HPCPHI19650700130010500 00038  &&&
HPD08021100HPCPHI19650700130010900 00032  &&&
HPD08021100HPCPHI19650700130011000 00025  &&&
HPD08021100HPCPHI19650700130011100 00004  &&&
HPD08021100HPCPHI19650700130011200 00059  &&&
HPD08021100HPCPHI19650700130011300 00024  &&&
HPD08021100HPCPHI19650700130011400 00004  &&&
HPD08021100HPCPHI19650700140010700 00005  &&&
HPD08021100HPCPHI19650700140010800 00001  &&&
HPD08021100HPCPHI19650700140010900 00001  &&&
HPD08021100HPCPHI19650700140011000 00008  &&&
HPD08021100HPCPHI19650700140011100 00030  &&&
HPD08021100HPCPHI19650700140011200 00040  &&&
HPD08021100HPCPHI19650700140011300 00005  &&&
HPD08021100HPCPHI19650700140011400 00004  &&&
HPD08021100HPCPHI19650700140011500 00001  &&&
HPD08021100HPCPHI19650700160010900 00002  &&&
HPD08021100HPCPHI19650700190011500 00019  &&&
HPD08021100HPCPHI19650700210010100 00003  &&&
HPD08021100HPCPHI19650700210012100 00013  &&&
HPD08021100HPCPHI19650700250010400 00015  &&&
HPD08021100HPCPHI19650700260010300 00044  &&&
HPD08021100HPCPHI19650700260010400 00005  &&&
HPD08021100HPCPHI19650700260010500 00004  &&&
HPD08021100HPCPHI19650700260010600 00004  &&&
HPD08021100HPCPHI19650700260010700 00003  &&&
HPD08021100HPCPHI19650700260010900 00051  &&&
HPD08021100HPCPHI19650700260011000 00005  &&&
HPD08021100HPCPHI19650700260011200 00008  &&&
HPD08021100HPCPHI19650700270010300 00006  &&&
HPD08021100HPCPHI19650700270010400 00002  &&&
HPD08021100HPCPHI19650700270011400 00005  &&&
HPD08021100HPCPHI19650700290011500 00077  &&&
HPD08021100HPCPHI19650700290011600 00001  &&&
HPD08021100HPCPHI19650700290011700 00002  &&&
HPD08021100HPCPHI19650700300011000 00002  &&&
HPD08021100HPCPHI19650700300011100 00001  &&&
HPD08021100HPCPHI19650700300011200 00002  &&&
HPD08021100HPCPHI19650700300011300 00007  &&&
HPD08021100HPCPHI19650700300011500 00002  &&&
HPD08021100HPCPHI19650700300011600 00002  &&&
HPD08021100HPCPHI19650700310010700 00014  &&&
HPD08021100HPCPHI19650700310010800 00008  &&&
HPD08021100HPCPHI19650700310010900 00015  &&&
HPD08021100HPCPHI19650700310011200 00019  &&&
HPD08021100HPCPHI19650700310011400 00003  &&&
HPD08021100HPCPHI19650800010010100 00000  &&&
HPD08021100HPCPHI19650800010010700 00004  &&&
HPD08021100HPCPHI19650800010010800 00001  &&&
HPD08021100HPCPHI19650800010010900 00029  &&&
HPD08021100HPCPHI19650800010011000 00002  &&&
HPD08021100HPCPHI19650800010011100 00027  &&&
HPD08021100HPCPHI19650800010011200 00023  &&&
HPD08021100HPCPHI19650800010011300 00009  &&&
HPD08021100HPCPHI19650800010011400 00023  &&&
HPD08021100HPCPHI19650800010011500 00006  &&&
HPD08021100HPCPHI19650800010011600 00006  &&&
HPD08021100HPCPHI19650800010011700 00001  &&&
HPD08021100HPCPHI19650800010011900 00011  &&&
HPD08021100HPCPHI19650800020010900 00058  &&&
HPD08021100HPCPHI19650800020011000 00001  &&&
HPD08021100HPCPHI19650800050011100 00003  &&&
HPD08021100HPCPHI19650800060010200 00001  &&&
HPD08021100HPCPHI19650800060010300 00001  &&&
HPD08021100HPCPHI19650800100011500 00001  &&&
HPD08021100HPCPHI19650800100011600 00001  &&&
HPD08021100HPCPHI19650800110012300 00007  &&&
HPD08021100HPCPHI19650800120010700 00002  &&&
HPD08021100HPCPHI19650800120010800 00005  &&&
HPD08021100HPCPHI19650800120010900 00002  &&&
HPD08021100HPCPHI19650800120011000 00079  &&&
HPD08021100HPCPHI19650800120011100 00011  &&&
HPD08021100HPCPHI19650800120011200 00014  &&&
HPD08021100HPCPHI19650800120011300 00003  &&&
HPD08021100HPCPHI19650800140011300 00007  &&&
HPD08021100HPCPHI19650800140011500 00001  
HPD08021100HPCPHI19650800150011500 00010  &&&
HPD08021100HPCPHI19650800170010600 00064  &&&
HPD08021100HPCPHI19650800170010700 00003  &&&
HPD08021100HPCPHI19650800190012200 00028  &&&
HPD08021100HPCPHI19650800190012300 00003  &&&
HPD08021100HPCPHI19650800280011900 00024  &&&
HPD08021100HPCPHI19650800280012000 00040  &&&
HPD08021100HPCPHI19650800280012100 00012  &&&
HPD08021100HPCPHI19650800300010400 00022  &&&
HPD08021100HPCPHI19650800300010500 00006  &&&
HPD08021100HPCPHI19650800310010100 00006  &&&
HPD08021100HPCPHI19650800310010200 00024  &&&
HPD08021100HPCPHI19650800310010600 00011  &&&
HPD08021100HPCPHI19650800310010700 00000A &&&
HPD08021100HPCPHI19650800310011200 00504A &&&
HPD08021100HPCPHI19650900010010100 00000  &&&
HPD08021100HPCPHI19650900010010400 00034  &&&
HPD08021100HPCPHI19650900010010700 00002  &&&
HPD08021100HPCPHI19650900010011000 00003  &&&
HPD08021100HPCPHI19650900010011100 00003  &&&
HPD08021100HPCPHI19650900010011200 00005  &&&
HPD08021100HPCPHI19650900010011300 00001  &&&
HPD08021100HPCPHI19650900010011400 00002  &&&
HPD08021100HPCPHI19650900030010700 00002  &&&
HPD08021100HPCPHI19650900030010900 00184  &&&
HPD08021100HPCPHI19650900140010300 00002  &&&
HPD08021100HPCPHI19650900160011400 00009  &&&
HPD08021100HPCPHI19650900170011000 00001  &&&
HPD08021100HPCPHI19650900170011100 00001  &&&
HPD08021100HPCPHI19650900180010700 00060  &&&
HPD08021100HPCPHI19650900180010800 00106  &&&
HPD08021100HPCPHI19650900180010900 00006  &&&
HPD08021100HPCPHI19650900180011000 00010  &&&
HPD08021100HPCPHI19650900180011100 00013  &&&
HPD08021100HPCPHI19650900180011200 00017  &&&
HPD08021100HPCPHI19650900220011300 00006  &&&
HPD08021100HPCPHI19650900230010400 00005  &&&
HPD08021100HPCPHI19650900230010600 00033  &&&
